Περιφερειακή Ενότητα,Σύνολο εμβολιασμών,Σύνολο 1ης δόσης,Σύνολο 2ης δόσης
ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,163.879  (+4.534 την 08/03/2021),103.083  (+3.355 την 08/03/2021),60.796  (+1.179 την 08/03/2021)
ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,151.815  (+4.234 την 08/03/2021),107.973  (+3.378 την 08/03/2021),43.842  (+856 την 08/03/2021)
ΘΕΣΣΑΛΟΝΙΚΗΣ,127.233  (+3.345 την 08/03/2021),86.226  (+2.592 την 08/03/2021),41.007  (+753 την 08/03/2021)
ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,44.219  (+1.417 την 08/03/2021),27.381  (+1.206 την 08/03/2021),16.838  (+211 την 08/03/2021)
ΠΕΙΡΑΙΩΣ,43.503  (+1.381 την 08/03/2021),29.022  (+1.227 την 08/03/2021),14.481  (+154 την 08/03/2021)
ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,28.098  (+954 την 08/03/2021),18.818  (+842 την 08/03/2021),9.280  (+112 την 08/03/2021)
ΗΡΑΚΛΕΙΟΥ,27.318  (+758 την 08/03/2021),18.101  (+603 την 08/03/2021),9.217  (+155 την 08/03/2021)
ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,26.512  (+1.008 την 08/03/2021),18.513  (+823 την 08/03/2021),7.999  (+185 την 08/03/2021)
ΑΧΑΪΑΣ,26.471  (+756 την 08/03/2021),16.872  (+629 την 08/03/2021),9.599  (+127 την 08/03/2021)
ΛΑΡΙΣΑΣ,23.323  (+612 την 08/03/2021),15.683  (+413 την 08/03/2021),7.640  (+199 την 08/03/2021)
ΙΩΑΝΝΙΝΩΝ,20.928  (+537 την 08/03/2021),13.286  (+397 την 08/03/2021),7.642  (+140 την 08/03/2021)
ΧΑΝΙΩΝ,18.688  (+601 την 08/03/2021),11.987  (+546 την 08/03/2021),6.701  (+55 την 08/03/2021)
ΕΥΒΟΙΑΣ,18.101  (+651 την 08/03/2021),12.400  (+614 την 08/03/2021),5.701  (+37 την 08/03/2021)
ΕΒΡΟΥ,15.986  (+505 την 08/03/2021),10.794  (+441 την 08/03/2021),5.192  (+64 την 08/03/2021)
ΠΕΛΛΑΣ,14.506  (+462 την 08/03/2021),9.347  (+352 την 08/03/2021),5.159  (+110 την 08/03/2021)
ΜΑΓΝΗΣΙΑΣ,14.112  (+531 την 08/03/2021),9.651  (+446 την 08/03/2021),4.461  (+85 την 08/03/2021)
ΜΕΣΣΗΝΙΑΣ,14.097  (+364 την 08/03/2021),9.186  (+332 την 08/03/2021),4.911  (+32 την 08/03/2021)
ΤΡΙΚΑΛΩΝ,13.757  (+391 την 08/03/2021),9.284  (+251 την 08/03/2021),4.473  (+140 την 08/03/2021)
ΚΑΡΔΙΤΣΑΣ,13.520  (+424 την 08/03/2021),9.601  (+347 την 08/03/2021),3.919  (+77 την 08/03/2021)
ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,13.302  (+416 την 08/03/2021),9.387  (+280 την 08/03/2021),3.915  (+136 την 08/03/2021)
ΚΟΖΑΝΗΣ,13.218  (+426 την 08/03/2021),8.823  (+298 την 08/03/2021),4.395  (+128 την 08/03/2021)
ΣΕΡΡΩΝ,12.580  (+425 την 08/03/2021),9.273  (+347 την 08/03/2021),3.307  (+78 την 08/03/2021)
ΗΜΑΘΙΑΣ,12.458  (+365 την 08/03/2021),8.255  (+267 την 08/03/2021),4.203  (+98 την 08/03/2021)
ΚΑΒΑΛΑΣ,11.351  (+322 την 08/03/2021),7.161  (+245 την 08/03/2021),4.190  (+77 την 08/03/2021)
ΦΘΙΩΤΙΔΑΣ,11.051  (+396 την 08/03/2021),7.581  (+324 την 08/03/2021),3.470  (+72 την 08/03/2021)
ΗΛΕΙΑΣ,11.035  (+396 την 08/03/2021),7.385  (+375 την 08/03/2021),3.650  (+21 την 08/03/2021)
ΒΟΙΩΤΙΑΣ,11.028  (+416 την 08/03/2021),8.363  (+394 την 08/03/2021),2.665  (+22 την 08/03/2021)
ΛΑΣΙΘΙΟΥ,10.890  (+388 την 08/03/2021),6.946  (+365 την 08/03/2021),3.944  (+23 την 08/03/2021)
ΚΟΡΙΝΘΙΑΣ,10.087  (+349 την 08/03/2021),7.140  (+281 την 08/03/2021),2.947  (+68 την 08/03/2021)
ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,9.803  (+425 την 08/03/2021),6.857  (+409 την 08/03/2021),2.946  (+16 την 08/03/2021)
ΠΙΕΡΙΑΣ,9.798  (+287 την 08/03/2021),5.976  (+184 την 08/03/2021),3.822  (+103 την 08/03/2021)
ΧΑΛΚΙΔΙΚΗΣ,9.261  (+391 την 08/03/2021),6.882  (+373 την 08/03/2021),2.379  (+18 την 08/03/2021)
ΛΑΚΩΝΙΑΣ,9.216  (+298 την 08/03/2021),6.405  (+276 την 08/03/2021),2.811  (+22 την 08/03/2021)
ΚΕΡΚΥΡΑΣ,8.946  (+330 την 08/03/2021),5.787  (+280 την 08/03/2021),3.159  (+50 την 08/03/2021)
ΚΙΛΚΙΣ,8.935  (+363 την 08/03/2021),5.980  (+338 την 08/03/2021),2.955  (+25 την 08/03/2021)
ΔΡΑΜΑΣ,8.925  (+276 την 08/03/2021),5.808  (+241 την 08/03/2021),3.117  (+35 την 08/03/2021)
ΑΡΓΟΛΙΔΑΣ,8.810  (+272 την 08/03/2021),5.934  (+235 την 08/03/2021),2.876  (+37 την 08/03/2021)
ΑΡΚΑΔΙΑΣ,8.661  (+269 την 08/03/2021),5.899  (+253 την 08/03/2021),2.762  (+16 την 08/03/2021)
ΡΕΘΥΜΝΟΥ,8.421  (+342 την 08/03/2021),6.013  (+324 την 08/03/2021),2.408  (+18 την 08/03/2021)
ΡΟΔΟΥ,7.930  (+232 την 08/03/2021),5.404  (+194 την 08/03/2021),2.526  (+38 την 08/03/2021)
ΑΡΤΑΣ,7.647  (+169 την 08/03/2021),4.692  (+133 την 08/03/2021),2.955  (+36 την 08/03/2021)
ΞΑΝΘΗΣ,7.166  (+234 την 08/03/2021),4.841  (+214 την 08/03/2021),2.325  (+20 την 08/03/2021)
ΛΕΣΒΟΥ,6.954  (+201 την 08/03/2021),4.393  (+197 την 08/03/2021),2.561  (+4 την 08/03/2021)
ΡΟΔΟΠΗΣ,6.419  (+214 την 08/03/2021),4.331  (+159 την 08/03/2021),2.088  (+55 την 08/03/2021)
ΘΕΣΠΡΩΤΙΑΣ,6.350  (+239 την 08/03/2021),4.203  (+231 την 08/03/2021),2.147  (+8 την 08/03/2021)
ΚΑΣΤΟΡΙΑΣ,5.977  (+202 την 08/03/2021),4.006  (+193 την 08/03/2021),1.971  (+9 την 08/03/2021)
ΧΙΟΥ,5.433  (+148 την 08/03/2021),3.697  (+117 την 08/03/2021),1.736  (+31 την 08/03/2021)
ΦΛΩΡΙΝΑΣ,5.338  (+213 την 08/03/2021),3.683  (+201 την 08/03/2021),1.655  (+12 την 08/03/2021)
ΚΕΦΑΛΛΗΝΙΑΣ,5.125  (+336 την 08/03/2021),3.497  (+329 την 08/03/2021),1.628  (+7 την 08/03/2021)
ΠΡΕΒΕΖΑΣ,5.050  (+192 την 08/03/2021),3.939  (+182 την 08/03/2021),1.111  (+10 την 08/03/2021)
ΝΗΣΩΝ,4.500  (+161 την 08/03/2021),2.829  (+156 την 08/03/2021),1.671  (+5 την 08/03/2021)
ΛΕΥΚΑΔΑΣ,4.253  (+103 την 08/03/2021),2.883  (+96 την 08/03/2021),1.370  (+7 την 08/03/2021)
ΓΡΕΒΕΝΩΝ,3.579  (+112 την 08/03/2021),2.422  (+102 την 08/03/2021),1.157  (+10 την 08/03/2021)
ΚΩ,3.554  (+105 την 08/03/2021),2.630  (+101 την 08/03/2021),924  (+4 την 08/03/2021)
ΖΑΚΥΝΘΟΥ,3.336  (+95 την 08/03/2021),2.048  (+91 την 08/03/2021),1.288  (+4 την 08/03/2021)
ΦΩΚΙΔΑΣ,3.179  (+82 την 08/03/2021),2.209  (+77 την 08/03/2021),970  (+5 την 08/03/2021)
ΣΑΜΟΥ,2.812  (+94 την 08/03/2021),1.926  (+88 την 08/03/2021),886  (+6 την 08/03/2021)
ΚΑΛΥΜΝΟΥ,2.040  (+82 την 08/03/2021),1.350  (+75 την 08/03/2021),690  (+7 την 08/03/2021)
ΣΥΡΟΥ,2.023  (+48 την 08/03/2021),1.168  (+47 την 08/03/2021),855  (+1 την 08/03/2021)
ΕΥΡΥΤΑΝΙΑΣ,2.007  (+69 την 08/03/2021),1.350  (+64 την 08/03/2021),657  (+5 την 08/03/2021)
ΙΚΑΡΙΑΣ,1.979  (+47 την 08/03/2021),1.310  (+47 την 08/03/2021),669
ΛΗΜΝΟΥ,1.859  (+54 την 08/03/2021),1.095  (+51 την 08/03/2021),764  (+3 την 08/03/2021)
ΝΑΞΟΥ,1.180  (+60 την 08/03/2021),748  (+57 την 08/03/2021),432  (+3 την 08/03/2021)
ΘΗΡΑΣ,1.013  (+66 την 08/03/2021),645  (+52 την 08/03/2021),368  (+14 την 08/03/2021)
ΘΑΣΟΥ,868,441,427
ΚΑΡΠΑΘΟΥ,673  (+18 την 08/03/2021),422  (+18 την 08/03/2021),251
ΜΗΛΟΥ,639  (+54 την 08/03/2021),413  (+54 την 08/03/2021),226
ΠΑΡΟΥ,606,310,296
ΣΠΟΡΑΔΩΝ,600  (+6 την 08/03/2021),353,247  (+6 την 08/03/2021)
ΤΗΝΟΥ,593,314,279
ΙΘΑΚΗΣ,581  (+42 την 08/03/2021),503  (+39 την 08/03/2021),78  (+3 την 08/03/2021)
ΑΝΔΡΟΥ,558,297,261
ΜΥΚΟΝΟΥ,319,176,143
ΚΕΑΣ-ΚΥΘΝΟΥ,78  (+16 την 08/03/2021),46,32  (+16 την 08/03/2021)
